,A,A,A,A,B,B,B,B,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO
,RA,DEC,OBJID_A,pos_err,OBJID_B,ALPHA_J2000,DELTA_J2000,MAG_AUTO,Reliability,LR,duplicates,duplicates_LR,duplicates_R
OBJID_A,,,,,,,,,,,,,
0,14.102000000000006,-1.2773102777777776,0.0,5.0,,,,,,,,,
1,14.079733333333335,-1.2494994444444445,1.0,5.0,,,,,,,,,
2,14.095849999999983,-1.2276433333333334,2.0,5.0,,,,,,,,,
3,14.068408333333338,-1.2348383333333337,3.0,5.0,,,,,,,,,
4,14.070508333333324,-1.2212225,4.0,5.0,,,,,,,,,
5,14.055662500000011,-1.2486969444444445,5.0,5.0,,,,,,,,,
6,14.1077875,-1.356167777777778,6.0,5.0,,,,,,,,,
7,14.012691666666653,-1.2393763888888891,7.0,5.0,,,,,,,,,
8,-3.830945833333317,-0.20238111111111112,8.0,5.0,,,,,,,,,
9,-3.8139416666666652,-0.1126613888888889,9.0,5.0,,,,,,,,,
10,-3.9137458333333366,-0.11678111111111113,10.0,5.0,,,,,,,,,
11,-3.7393208333334087,-0.19044694444444446,11.0,5.0,,,,,,,,,
12,-3.740416666666704,-0.2004163888888889,12.0,5.0,,,,,,,,,
13,-3.8903916666666873,-0.2936613888888889,13.0,5.0,,,,,,,,,
14,-3.756920833333368,-0.02671805555555556,14.0,5.0,6203632.0,-3.7553983414322265,-0.02745818634318224,19.368633270263672,0.7645067538509525,0.019682325386690618,6203717;6203774,0.0024608894214439452;0.003601914698632182,0.09558660098397;0.1399066451650775
15,-49.17572916666678,-0.7230919444444445,15.0,5.0,,,,,,,,,
16,-49.187333333333406,-0.6771925,16.0,5.0,,,,,,,,,
17,-49.221462500000094,-0.7079208333333333,17.0,5.0,,,,,,,,,
18,-49.06894166666672,-0.7611241666666667,18.0,5.0,,,,,,,,,
19,-49.22998333333339,-0.6346375,19.0,5.0,,,,,,,,,
20,-49.07260416666674,-0.7935075,20.0,5.0,,,,,,,,,
21,-49.09467916666677,-0.6208725,21.0,5.0,,,,,,,,,
22,-49.05759583333339,-0.6513774999999999,22.0,5.0,,,,,,,,,
23,-49.24366666666675,-0.6274247222222222,23.0,5.0,,,,,,,,,
24,-49.27551250000005,-0.7915894444444445,24.0,5.0,,,,,,,,,
25,-49.062720833333394,-0.6356986111111109,25.0,5.0,,,,,,,,,
26,-49.228345833333435,-0.5934077777777779,26.0,5.0,,,,,,,,,
27,-49.28757916666672,-0.6486072222222222,27.0,5.0,,,,,,,,,
28,-49.17623333333341,-0.5748338888888889,28.0,5.0,,,,,,,,,
29,-49.26237083333336,-0.8303869444444444,29.0,5.0,,,,,,,,,
30,-49.25809583333336,-0.603245,30.0,5.0,,,,,,,,,
31,-49.136904166666746,-0.5721227777777778,31.0,5.0,,,,,,,,,
32,-49.17854166666672,-0.8726211111111112,32.0,5.0,,,,,,,,,
33,-49.088708333333386,-0.8624216666666666,33.0,5.0,,,,,,,,,
34,-49.16135000000008,-0.8865916666666667,34.0,5.0,,,,,,,,,
35,-49.152729166666745,-0.8853269444444444,35.0,5.0,,,,,,,,,
36,-49.33262500000001,-0.6915519444444445,36.0,5.0,,,,,,,,,
37,-49.27715833333339,-0.5917827777777778,37.0,5.0,,,,,,,,,
38,-49.335741666666706,-0.7607647222222222,38.0,5.0,,,,,,,,,
39,-49.2573041666667,-0.5623794444444445,39.0,5.0,,,,,,,,,
40,-49.22550416666672,-0.8962144444444444,40.0,5.0,,,,,,,,,
41,-49.2985625,-0.8504149999999999,41.0,5.0,,,,,,,,,
42,-49.31995833333339,-0.8574352777777777,42.0,5.0,,,,,,,,,
43,-49.32229166666673,-0.8665630555555556,43.0,5.0,,,,,,,,,
44,-49.385245833333386,-0.7422327777777777,44.0,5.0,,,,,,,,,
45,24.693637499999994,-0.6725136111111111,45.0,5.0,10331489.0,24.69330692636226,-0.6729084509243102,21.6153507232666,0.7201754919311597,0.009985347095246185,10331510,0.0038798110601227934,0.2798245080688403
46,24.657625,-0.6686836111111111,46.0,5.0,10331970.0,24.65673978439039,-0.6680311523435102,21.149553298950195,0.44683450423192933,0.012284347678873795,10331779;10331716,0.00490188752174791;0.010305705467634313,0.17830270990683272;0.3748627858612379
47,24.819666666666652,-0.6210669444444444,47.0,5.0,10336874.0,24.821171347006537,-0.6211961572069753,21.617053985595703,0.39934087932069257,0.007688704234468393,10336933;10336804;10336854,0.0025365640202913682;0.0037324721520687115;0.0052957461071177795,0.131745698030017;0.19385954587316417;0.27505387677612614
48,24.696104166666654,-0.4953258333333334,48.0,5.0,10349673.0,24.695655419695463,-0.49592927172844103,20.810714721679688,0.5980167086105854,0.016152989472415943,10349649;10349580;10349671,0.00479203354230448;0.0028684722636638463;0.0031974380949412475,0.177410883069921;0.10619671019945533;0.11837569812003823
49,24.863341666666656,-0.5856408333333334,49.0,5.0,10340717.0,24.863210784174072,-0.585496696363689,23.26041603088379,0.6310154461318253,0.007299007718728784,10340607,0.004268074772630627,0.36898455386817475
50,24.580591666666667,-0.6724919444444444,50.0,5.0,10331634.0,24.58104861259045,-0.6721935951504043,19.691669464111328,1.0,0.024723735251639043,,,
